affinity,rmsd_lb,rmsd_ub
-7.795,0,0
-7.784,4.705,6.484
-7.734,4.427,6.294
-7.555,2.935,5.288
-7.546,5.595,7.812
-7.406,2.456,3.429
-7.34,2.488,3.422
-7.334,2.901,3.99
-7.281,3.69,5.741
