affinity,rmsd_lb,rmsd_ub
-9.431,0,0
-9.351,3.917,7.372
-9.294,3.176,7.941
-9.194,3.947,9.914
-9.193,1.332,2.374
-9.14,4.136,7.732
-9.111,2.539,9.085
-9.062,2.638,8.413
-8.991,2.726,8.733
