affinity,rmsd_lb,rmsd_ub
-7.651,0,0
-7.581,1.597,2.013
-7.326,1.38,5.434
-7.178,2.718,4.839
-7.144,3.487,5.363
-7.117,3.193,5.112
-7.026,2.606,5.16
-6.763,4.866,8.446
-6.648,5.011,7.085
