affinity,rmsd_lb,rmsd_ub
-9.329,0,0
-8.976,6.343,10.59
-8.812,2.875,5.821
-8.709,1.882,5.389
-8.049,2.845,5.564
-7.879,5.681,8.763
-7.862,6.765,9.531
-7.761,2.877,4.789
-7.553,2.942,5.263
