affinity,rmsd_lb,rmsd_ub
-7.385,0,0
-7.191,2.653,3.812
-7.101,4.914,7.597
-7.094,6.379,10.16
-7.069,2.457,3.328
-7.045,2.577,4.065
-6.828,2.97,4.045
-6.719,6.569,10.32
-6.716,6.451,9.143
