affinity,rmsd_lb,rmsd_ub
-9.22,0,0
-8.898,2.551,7.075
-8.848,1.843,7.47
-8.807,1.411,2.085
-8.668,2.939,8.067
-8.644,2.21,3.144
-8.541,3.365,7.95
-8.531,2.573,8.39
-8.506,1.789,2.564
