affinity,rmsd_lb,rmsd_ub
-7.5,0,0
-7.467,1.588,2.224
-7.341,3.525,4.675
-7.291,3.957,5.29
-7.22,3.287,4.794
-7.144,6.766,10.1
-7.055,2.127,6.149
-6.887,6.463,10.19
-6.854,2.638,5.775
