affinity,rmsd_lb,rmsd_ub
-7.708,0,0
-7.63,1.909,2.475
-7.544,6.933,10.03
-7.495,1.573,2.293
-7.322,2.213,4.363
-7.128,2.225,4.606
-7.119,1.755,2.446
-7.055,1.601,2.532
-7.05,4.23,5.61
