affinity,rmsd_lb,rmsd_ub
-9.664,0,0
-9.644,1.527,2.256
-9.363,1.146,2.203
-9.19,5.206,7.409
-9.118,4.648,7.453
-9.097,2.124,3.494
-9.081,0.9694,1.57
-8.931,4.483,7.186
-8.755,7.038,9.233
