affinity,rmsd_lb,rmsd_ub
-8.033,0,0
-7.953,3.468,5.556
-7.879,4.188,6.41
-7.839,4.437,6.321
-7.836,3.992,5.689
-7.691,3.639,6.146
-7.558,3.73,5.978
-7.549,3.627,5.881
-7.407,5.48,8.42
