affinity,rmsd_lb,rmsd_ub
-8.987,0,0
-8.964,2.55,5.066
-8.731,2.462,6.332
-8.392,3.293,6.308
-8.111,2.319,4.14
-8.067,1.889,3.71
-7.995,2.16,5.504
-7.994,2.419,6.248
-7.994,5.866,10.1
