affinity,rmsd_lb,rmsd_ub
-9.368,0,0
-7.921,2.633,6.918
-7.868,2.921,7.043
-7.626,2.09,2.706
-7.606,3.627,7.79
-7.503,2.558,7.056
-7.389,4.362,7.108
-7.345,2.441,6.219
-7.237,6.686,10.07
