affinity,rmsd_lb,rmsd_ub
-9.763,0,0
-8.846,3.239,6.906
-8.779,3.449,6.159
-8.755,5.76,9.033
-8.737,3.372,6.694
-8.631,5.083,8.648
-8.377,3.956,7.797
-8.172,2.504,4.735
-8.128,5.647,8.966
