affinity,rmsd_lb,rmsd_ub
-7.945,0,0
-7.92,4.733,6.309
-7.779,1.299,1.862
-7.652,2.804,5.105
-7.485,2.095,3.03
-7.44,2.068,2.537
-7.381,1.495,2.39
-7.375,1.996,2.877
-7.311,3.509,5.395
