affinity,rmsd_lb,rmsd_ub
-9.082,0,0
-9.001,2.256,5.225
-8.912,3.236,7.621
-8.873,3.938,9.57
-8.85,3.885,9.696
-8.798,3.66,7.859
-8.742,3.205,8.313
-8.642,2.078,3.725
-8.536,3.217,7.564
