affinity,rmsd_lb,rmsd_ub
-9.16,0,0
-8.87,1.687,2.236
-8.763,2.829,7.306
-8.619,1.922,2.889
-8.51,2.628,8.405
-8.466,1.87,7.655
-8.324,3.792,7.644
-8.114,2.444,8.092
-8.094,5.061,9.264
