affinity,rmsd_lb,rmsd_ub
0,0,0
0.0002438,13.92,15.3
0.0002937,9.126,11.58
0.0003343,15.98,18.09
0.0003804,8.227,9.456
0.0004095,13.83,15.65
0.0004229,10.63,12.52
0.0004923,16.91,18.29
0.0005425,12.25,14.86
