affinity,rmsd_lb,rmsd_ub
-9.227,0,0
-8.607,1.876,5.384
-8.03,2.773,5.514
-7.724,5.671,8.757
-7.703,2.893,4.814
-7.658,6.778,9.562
-7.582,2.377,5.414
-7.477,2.993,5.264
-7.275,6.506,9.816
