affinity,rmsd_lb,rmsd_ub
-8.562,0,0
-8.502,1.888,4.768
-8.116,1.988,2.85
-8.077,2.08,5.085
-7.964,2.253,4.783
-7.838,6.379,9.859
-7.766,1.836,3.304
-7.681,1.572,3.48
-7.546,2.256,3.487
