affinity,rmsd_lb,rmsd_ub
-9.037,0,0
-9.015,0.5239,5.324
-8.836,1.841,4.936
-8.766,1.904,2.703
-8.419,1.75,4.659
-8.224,1.332,5.417
-7.916,6.002,10.08
-7.793,1.536,2.491
-7.662,2.857,5.5
