affinity,rmsd_lb,rmsd_ub
-9.693,0,0
-9.641,6.723,10.05
-9.614,6.497,8.91
-9.4,2.392,6.285
-9.312,2.782,4.492
-9.263,5.585,9.442
-8.662,6.891,11.29
-8.442,6.495,9.872
-8.328,5.383,9.489
