affinity,rmsd_lb,rmsd_ub
-9.789,0,0
-8.919,3.503,6.209
-8.809,3.275,6.985
-8.719,3.299,6.726
-8.702,3.342,6.587
-8.65,5.046,8.628
-8.564,5.687,8.986
-8.415,4.026,7.824
-8.368,2.438,4.129
